@relation train

@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute a4 real
@attribute a5 real
@attribute a6 real
@attribute a7 real
@attribute a8 real
@attribute a9 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 {1,2,3,}

@data
0.936383,-0.907109,-0.795692,0.984127,1.474585,-1.186162,-1.208482,-1.160829,1.074374,1.284984,0.580033,0.823548,-0.226195,1.239145,-0.749981,0.684685,1.031345,-0.702228,0.044116,0.060030,0.054102,-0.036524,0.053001,0.243194,0.108593,0.001034,0.214502,0.202037,0.061691,0.204178,0.120440,2
-0.648212,0.853687,1.129766,-0.138471,-0.822975,-2.285062,-2.702170,-2.367701,-1.146957,-0.308509,-1.672534,-0.896764,0.108724,-0.124518,0.119099,-0.259731,-0.408396,0.119099,-0.047785,0.000000,-0.148223,0.088834,-0.149590,-0.131263,0.743506,0.078163,-0.053333,-0.112725,0.078163,-0.112725,0.000000,1
-0.747788,-0.326685,-0.256072,-0.753640,-0.577087,1.090858,0.924422,0.952620,-0.346138,-0.293530,-0.366918,-0.462512,0.845214,-0.732660,-0.626539,-0.616736,-0.356603,-0.626538,-0.086690,-0.012848,-0.207024,0.077592,-0.016643,-0.186183,-0.405461,-0.023057,-0.235332,-0.061539,-0.020247,-0.061539,0.124779,3
-0.476516,0.414438,0.523766,-0.102180,0.022139,-0.139044,0.269604,0.724686,-0.178965,-0.877403,0.240882,0.073389,0.708723,0.512849,-0.198699,-0.873804,0.633032,-0.131786,-0.556176,0.175476,-0.963832,-0.553883,-0.338808,-1.052056,1.111971,-0.121250,-0.407059,0.343976,0.667917,0.690766,-0.114218,2
0.195130,0.605728,0.190013,-0.031619,0.337994,-0.389848,-0.584115,-0.777646,0.713307,0.608111,1.164752,0.948065,0.778602,0.168188,1.625987,1.461517,1.224163,1.599847,-0.208973,-0.071743,0.112072,0.066199,-0.371008,-0.270298,-0.560298,-0.324704,-0.316833,-0.479833,-0.343152,-0.478094,0.233333,2
1.518316,-0.138360,-0.180161,1.538324,0.709305,-1.150574,-1.129666,-0.541087,0.860665,0.710009,0.746010,-1.265179,-1.612918,0.781065,0.606111,-0.850018,0.431026,0.634641,2.892169,0.692637,4.035820,1.100911,2.627670,3.158682,-0.499578,2.648482,2.590979,0.661713,1.053061,0.555382,-0.233716,1
-1.388430,0.053235,0.238690,-0.671476,-0.476526,-1.635132,-1.575420,-0.713748,-1.555213,-0.880961,-2.011423,-0.495586,0.751720,-0.504334,0.749981,-0.175316,-1.106039,0.749980,-0.130780,-0.105246,-0.560742,-0.784983,-0.607004,0.150605,0.294686,0.039918,0.267181,0.071312,0.039918,0.071312,0.257576,2
-0.438505,-1.325800,-1.299563,-0.414871,0.153098,-0.097199,-0.008853,0.005407,-0.262707,0.151641,-0.681248,0.271423,0.659191,-1.678767,-0.036966,0.945462,-1.724103,0.032602,1.120616,0.385837,1.080307,0.471247,1.089250,1.539129,1.436183,1.111769,1.465437,0.567626,-1.751348,-1.751445,-1.164965,3
-0.141346,0.098619,-0.053267,-0.106804,0.464392,-1.569787,-0.954280,-0.365208,0.360695,0.445824,0.432444,1.005508,0.693522,0.654477,0.492933,1.084527,0.687620,1.385918,0.030821,0.001069,0.073513,0.099210,-0.016757,-0.104502,-0.177336,0.007252,-0.114082,-0.039341,0.573247,0.555542,1.397761,1
-0.347123,-0.205877,-0.479371,-0.468886,-0.472766,0.655299,0.058432,-0.135837,-0.390985,0.012296,-0.541570,-0.127905,0.076569,0.109468,-0.559967,-0.158125,-0.732728,-0.579540,0.823387,0.671706,0.882713,0.874898,0.758795,0.764829,0.298345,0.760022,0.775384,0.724444,0.767764,0.731280,0.324983,2
0.553552,-0.297853,0.380379,0.502574,0.138763,-0.453323,-2.158700,-3.306759,0.354080,0.138089,0.672602,-0.593755,-1.099506,0.869362,-0.206591,-0.588377,0.638069,-0.400625,0.174290,0.289649,-0.070316,0.285225,-0.117309,-0.013190,0.243586,0.308489,-0.026326,0.466462,0.606613,0.609447,0.087956,3
0.986146,0.351988,0.241385,1.217329,1.261359,0.275424,0.257309,0.727290,0.659513,0.371220,0.730890,0.596358,-0.629655,0.506907,-2.034444,0.307795,0.263923,-2.034442,0.179156,0.214995,0.053901,0.299229,0.258384,0.459436,0.109237,0.285065,-0.053333,-0.112725,0.285065,-0.112725,0.000000,2
0.180503,2.716341,2.011724,0.415343,0.455354,-0.049757,0.739365,0.075247,1.034563,-2.591483,0.784523,1.672027,0.135274,-1.167567,-1.359279,-3.640623,-1.007419,-1.300869,-1.639858,-0.734468,-1.319873,-0.568832,-0.570250,-1.964375,-1.105839,-1.769140,-2.800686,-0.791639,-0.434595,-0.409230,-0.274732,1
-0.324563,0.086509,-0.516246,-0.490289,-0.297109,0.602299,0.520227,0.227994,-0.351496,-0.394483,-0.415786,-0.839894,0.274731,-0.255650,0.171657,-0.619290,0.011942,0.171656,-0.892391,-0.647830,-0.459658,-0.331962,-1.287295,-0.766991,1.394362,-1.283074,-0.653269,-0.391296,-1.283075,-0.391295,0.000000,2
-0.686816,-0.384731,-0.342579,-0.660166,0.001512,-0.236177,-0.078872,-0.063716,-0.175909,-0.110182,-0.258847,0.156305,0.878318,-0.631827,0.149902,0.281748,-0.127423,0.149901,-0.689571,-0.673586,-0.744503,-0.572009,-0.721529,-0.651652,-0.405461,-0.714763,-0.551441,-0.753849,-0.714423,-0.753849,0.124779,2
-0.213789,-0.335672,-0.345877,-0.270217,-0.018703,-0.616695,-1.046828,-1.268095,-0.253790,-0.070418,-0.401601,-0.365761,0.156627,0.612676,-0.253971,-0.182876,0.538262,-0.521634,0.575448,0.385837,0.696771,0.378236,0.385435,0.717328,-0.107176,0.408909,0.675687,0.567626,0.628861,0.620224,-0.282225,2
0.540996,-0.071712,-0.272187,0.107759,0.991314,0.977299,0.952892,1.293027,0.911061,0.993284,0.678825,1.898121,-0.216071,0.458984,0.061932,2.557605,1.709928,0.061932,1.980858,1.887164,1.449658,2.011316,2.333216,1.346109,-0.542243,2.441992,2.146432,2.169955,2.441995,2.169954,0.000000,3
0.654133,-0.131866,-0.085423,-0.059148,-1.051753,1.571395,1.753762,1.729833,0.013222,0.397961,-0.371924,-0.206199,-1.139116,1.050850,0.653451,0.184846,0.336396,0.653450,0.219760,-0.105246,-0.003098,-0.115329,0.157059,1.154598,-0.491143,0.039918,0.712492,0.071312,0.039918,0.071312,0.257576,3
-0.417544,2.117982,0.056184,0.388441,0.106191,1.794473,0.048008,-1.187369,0.346118,0.079257,1.167164,-0.533667,0.558670,-0.514970,-0.901491,-0.417243,0.369712,-0.890613,2.602942,2.403389,3.491847,3.145703,2.482806,2.002174,-2.104914,1.813072,1.750542,1.974322,1.676955,1.991311,-1.328744,1
-0.651650,-0.371552,-0.071373,-0.970555,-0.746551,0.178171,0.294194,0.123140,-0.608634,-0.410336,-0.719359,-0.818019,0.120627,-0.277908,1.592410,-0.275706,-0.028203,1.604070,0.608583,0.194235,0.794286,0.527444,0.533687,0.818905,-0.668198,0.614353,0.684815,0.152907,0.622598,0.160487,0.276441,1
0.579137,-0.874115,-0.296868,0.587955,0.487232,0.104542,-0.052089,-0.874175,0.627504,0.320924,0.573811,0.328655,-0.538383,0.342419,0.453927,0.493476,0.752392,0.453927,-1.054166,-0.924823,-0.737657,-0.815786,-0.860955,-0.874257,-0.153038,-1.138611,-1.409441,-1.231501,-1.140824,-1.231500,0.127342,1
-0.634449,1.550084,1.602663,-1.028934,-1.498009,0.430724,0.007200,-0.567195,-0.996422,-1.332636,-0.444256,-1.177315,0.385486,0.252534,0.160457,-1.102220,0.376739,0.536824,-0.578514,-0.383696,-0.549744,-0.272830,-0.620043,-0.561083,-0.247487,-0.595232,-0.640592,-0.545148,0.506505,0.501638,0.515076,1
1.053663,-1.074774,-1.061707,1.018579,1.103224,-0.034190,0.054888,0.224465,0.463860,0.971318,-0.335381,-0.620566,-1.038183,1.143439,0.630972,-0.003874,0.919877,0.630972,0.003515,0.486750,0.554550,0.889153,0.157059,-0.351416,1.080505,-0.319346,-1.068742,0.629413,-0.319346,0.629412,-1.030283,3
-1.178019,-1.090759,-0.837171,-1.137105,-0.336114,-0.123361,0.108151,0.050573,-0.676070,-0.434233,-0.658196,-0.540121,1.692739,-0.923075,0.020680,-0.245014,-0.545078,0.020680,-0.084152,-0.647830,0.176794,-0.331962,0.160909,0.641769,-0.929558,0.206942,0.046662,-0.391296,0.206943,-0.391295,0.000000,2
-0.989092,-0.349093,-0.398082,-1.002876,-0.643568,-0.636329,-0.716092,-0.141246,-0.745004,-0.664639,-0.810782,-0.887556,1.046024,-0.947595,-0.127262,-0.522227,-0.759490,-0.127262,-0.657753,-0.673586,-0.744503,-0.572009,-0.721529,-0.496502,-0.612796,-0.714763,-0.393387,-0.753849,-0.714423,-0.753849,0.124779,2
0.708782,-1.061605,-0.988852,0.712593,0.920841,0.423556,0.349998,0.515210,0.626629,0.912598,-0.060076,0.257922,-0.636330,0.668943,0.265241,0.570824,0.429427,0.298938,-0.164006,-0.461195,-0.248744,-0.355667,-0.180262,0.084866,0.712884,-0.077283,0.087721,-0.296173,0.154275,-0.080384,0.627377,3
